date,dau
2023-11-16,116
2023-11-17,128
2023-11-18,116
2023-11-19,130
2023-11-20,112
2023-11-21,112
2023-11-22,118
2023-11-23,121
2023-11-24,110
2023-11-25,125
2023-11-26,128
2023-11-27,130
2023-11-28,124
2023-11-29,149
2023-11-30,130
2023-12-01,140
2023-12-02,141
2023-12-03,127
2023-12-04,144
2023-12-05,147
2023-12-06,149
2023-12-07,153
2023-12-08,148
2023-12-09,143
2023-12-10,163
2023-12-11,152
2023-12-12,142
2023-12-13,159
2023-12-14,154
2023-12-15,142
2023-12-16,141
2023-12-17,169
2023-12-18,163
2023-12-19,165
2023-12-20,161
2023-12-21,166
2023-12-22,179
2023-12-23,162
2023-12-24,177
2023-12-25,165
2023-12-26,186
2023-12-27,181
2023-12-28,179
2023-12-29,168
2023-12-30,174
2023-12-31,189
