date,daily_revenue,cumulative_revenue
2023-04-24,175.85999999999999,15721.08
2023-04-25,226.24,15947.32
2023-04-26,314.26,16261.58
2023-04-27,252.2,16513.78
2023-04-28,206.43,16720.21
2023-04-29,268.02,16988.23
2023-04-30,290.29,17278.52
2023-05-01,158.82,17437.34
2023-05-02,154.89,17592.23
2023-05-03,343.53,17935.76
2023-05-04,444.5,18380.26
2023-05-05,259.74,18640.0
2023-05-06,206.92,18846.92
2023-05-07,267.13,19114.05
2023-05-08,601.26,19715.31
2023-05-09,293.02,20008.329999999998
2023-05-10,316.71,20325.04
2023-05-11,232.95,20557.99
2023-05-12,229.05,20787.04
2023-05-13,439.84,21226.88
2023-05-14,579.32,21806.2
2023-05-15,368.1,22174.3
2023-05-16,273.41,22447.71
2023-05-17,465.37,22913.08
2023-05-18,316.18,23229.26
2023-05-19,245.48,23474.74
2023-05-20,511.52,23986.26
2023-05-21,473.18,24459.44
2023-05-22,317.57,24777.01
2023-05-23,424.64,25201.65
2023-05-24,403.23,25604.88
2023-05-25,539.12,26144.0
2023-05-26,310.39,26454.39
2023-05-27,332.46,26786.85
2023-05-28,337.61,27124.46
2023-05-29,241.58,27366.04
2023-05-30,452.78,27818.82
2023-05-31,349.69,28168.51
2023-06-01,404.2,28572.71
2023-06-02,308.58,28881.29
2023-06-03,493.48,29374.77
2023-06-04,516.93,29891.7
2023-06-05,492.05,30383.75
2023-06-06,402.01,30785.76
2023-06-07,190.52,30976.28
2023-06-08,643.0,31619.28
2023-06-09,425.42,32044.7
2023-06-10,283.18,32327.88
2023-06-11,604.49,32932.37
2023-06-12,583.66,33516.03
2023-06-13,621.59,34137.62
2023-06-14,691.6,34829.22
2023-06-15,278.53000000000003,35107.75
2023-06-16,443.64,35551.39
2023-06-17,496.07,36047.46
2023-06-18,493.56,36541.02
2023-06-19,392.27,36933.29
2023-06-20,383.5,37316.79
2023-06-21,467.6,37784.39
2023-06-22,449.08,38233.47
2023-06-23,720.99,38954.46
2023-06-24,540.34,39494.8
2023-06-25,486.59,39981.39
2023-06-26,391.2,40372.59
2023-06-27,544.47,40917.06
2023-06-28,517.13,41434.19
2023-06-29,559.85,41994.04
2023-06-30,474.0,42468.04
2023-07-01,250.63,42718.67
2023-07-02,340.41,43059.08
2023-07-03,252.47,43311.55
2023-07-04,741.81,44053.36
2023-07-05,812.12,44865.48
2023-07-06,487.8,45353.28
2023-07-07,829.96,46183.24
2023-07-08,461.15999999999997,46644.4
2023-07-09,406.09000000000003,47050.49
2023-07-10,459.42,47509.91
2023-07-11,546.3,48056.21
2023-07-12,309.4,48365.61
2023-07-13,585.99,48951.6
2023-07-14,759.96,49711.56
2023-07-15,245.98,49957.54
2023-07-16,617.86,50575.4
2023-07-17,627.09,51202.49
2023-07-18,589.45,51791.94
2023-07-19,772.58,52564.52
2023-07-20,634.11,53198.63
2023-07-21,668.78,53867.41
2023-07-22,668.83,54536.24
2023-07-23,756.67,55292.91
2023-07-24,649.33,55942.24
2023-07-25,918.8100000000001,56861.05
2023-07-26,858.7,57719.75
2023-07-27,1044.1,58763.85
2023-07-28,495.82,59259.67
2023-07-29,712.0600000000001,59971.73
2023-07-30,778.29,60750.02
2023-07-31,621.78,61371.8
2023-08-01,558.55,61930.35
2023-08-02,588.06,62518.41
2023-08-03,417.17,62935.58
2023-08-04,507.48,63443.06
2023-08-05,744.04,64187.1
2023-08-06,722.02,64909.12
2023-08-07,856.68,65765.8
2023-08-08,603.95,66369.75
2023-08-09,920.61,67290.36
2023-08-10,559.72,67850.08
2023-08-11,768.29,68618.37
2023-08-12,795.63,69414.0
2023-08-13,804.48,70218.48
2023-08-14,755.03,70973.51
2023-08-15,416.71,71390.22
2023-08-16,886.47,72276.69
2023-08-17,804.84,73081.53
2023-08-18,839.98,73921.51
2023-08-19,756.18,74677.69
2023-08-20,892.47,75570.16
2023-08-21,697.49,76267.65
2023-08-22,1009.35,77277.0
2023-08-23,1070.38,78347.38
2023-08-24,727.64,79075.02
2023-08-25,1013.68,80088.7
2023-08-26,1153.39,81242.09
2023-08-27,781.75,82023.84
2023-08-28,946.31,82970.15
2023-08-29,822.44,83792.59
2023-08-30,990.36,84782.95
2023-08-31,779.34,85562.29
2023-09-01,985.84,86548.13
2023-09-02,798.91,87347.04
2023-09-03,873.93,88220.97
2023-09-04,746.82,88967.79
2023-09-05,1049.03,90016.82
2023-09-06,1170.91,91187.73
2023-09-07,617.8100000000001,91805.54
2023-09-08,975.51,92781.05
2023-09-09,1023.57,93804.62
2023-09-10,989.48,94794.1
2023-09-11,1134.26,95928.36
2023-09-12,812.28,96740.64
2023-09-13,999.46,97740.1
2023-09-14,1056.62,98796.72
2023-09-15,1199.82,99996.54
2023-09-16,959.46,100956.0
2023-09-17,767.75,101723.75
2023-09-18,1102.66,102826.41
2023-09-19,1247.03,104073.44
2023-09-20,1056.57,105130.01
2023-09-21,1434.1,106564.11
2023-09-22,1083.1200000000001,107647.23
2023-09-23,1423.78,109071.01
2023-09-24,1535.3,110606.31
2023-09-25,1016.07,111622.38
2023-09-26,1053.93,112676.31
2023-09-27,1240.85,113917.16
2023-09-28,1322.71,115239.87
2023-09-29,1063.81,116303.68
2023-09-30,923.61,117227.29
2023-10-01,1056.77,118284.06
2023-10-02,1645.67,119929.73
2023-10-03,1346.17,121275.9
2023-10-04,991.47,122267.37
2023-10-05,957.15,123224.52
2023-10-06,1102.7,124327.22
2023-10-07,1224.38,125551.6
2023-10-08,834.79,126386.39
2023-10-09,1733.1200000000001,128119.51
2023-10-10,991.62,129111.13
2023-10-11,1361.15,130472.28
2023-10-12,1332.89,131805.17
2023-10-13,1346.75,133151.92
2023-10-14,1074.53,134226.45
2023-10-15,1150.44,135376.89
2023-10-16,1090.27,136467.16
2023-10-17,1443.26,137910.42
2023-10-18,1462.41,139372.83
2023-10-19,1259.01,140631.84
2023-10-20,1790.19,142422.03
2023-10-21,1039.54,143461.57
2023-10-22,2029.64,145491.21
2023-10-23,1078.47,146569.68
2023-10-24,1417.66,147987.34
2023-10-25,1662.1200000000001,149649.46
2023-10-26,1033.75,150683.21
2023-10-27,1277.45,151960.66
2023-10-28,1658.55,153619.21
2023-10-29,1621.05,155240.26
2023-10-30,1376.7,156616.96
2023-10-31,1811.11,158428.07
2023-11-01,1374.72,159802.79
2023-11-02,1757.83,161560.62
2023-11-03,1284.24,162844.86000000002
2023-11-04,1703.69,164548.55
2023-11-05,1449.12,165997.67
2023-11-06,1235.02,167232.69
2023-11-07,1693.22,168925.91
2023-11-08,1310.23,170236.14
2023-11-09,2028.3799999999999,172264.52
2023-11-10,1663.64,173928.16
2023-11-11,1185.94,175114.1
2023-11-12,1448.8,176562.9
2023-11-13,1619.3799999999999,178182.28
2023-11-14,1841.09,180023.37
2023-11-15,1669.85,181693.22
2023-11-16,1260.79,182954.01
2023-11-17,1725.65,184679.66
2023-11-18,1751.39,186431.05
2023-11-19,1935.34,188366.39
2023-11-20,1653.78,190020.17
2023-11-21,1221.59,191241.76
2023-11-22,1887.53,193129.29
2023-11-23,1911.68,195040.97
2023-11-24,1576.99,196617.96
2023-11-25,2264.99,198882.95
2023-11-26,1661.4,200544.35
2023-11-27,2192.07,202736.42
2023-11-28,1642.04,204378.46
2023-11-29,2506.97,206885.43
2023-11-30,1906.31,208791.74
2023-12-01,2428.5,211220.24
2023-12-02,2249.79,213470.03
2023-12-03,2013.6200000000001,215483.65
2023-12-04,1775.96,217259.61000000002
2023-12-05,1938.84,219198.45
2023-12-06,2173.25,221371.7
2023-12-07,2355.69,223727.39
2023-12-08,2209.59,225936.98
2023-12-09,2427.02,228364.0
2023-12-10,2665.62,231029.62
2023-12-11,2603.91,233633.53
2023-12-12,2129.64,235763.17
2023-12-13,2357.18,238120.35
2023-12-14,2598.63,240718.98
2023-12-15,2081.81,242800.79
2023-12-16,2052.11,244852.9
2023-12-17,2971.3,247824.2
2023-12-18,2597.69,250421.89
2023-12-19,2440.39,252862.28
2023-12-20,2153.47,255015.75
2023-12-21,2892.71,257908.46
2023-12-22,2533.39,260441.85
2023-12-23,2720.4,263162.25
2023-12-24,2965.2,266127.45
2023-12-25,2810.97,268938.42
2023-12-26,2991.67,271930.09
2023-12-27,3047.35,274977.44
2023-12-28,3792.53,278769.97
2023-12-29,3813.3,282583.27
2023-12-30,3999.07,286582.34
2023-12-31,5124.58,291706.92
